date,fishing_zone,com_management_action,rec_management_action,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6
01/14/2020,4,Open,,,,,,,
01/14/2020,5,Open,,,,,,,
01/14/2020,6,Open,,,,,,,
01/15/2020,1,Open,,,,,,,
01/15/2020,2,Open,,,,,,,
01/15/2020,3,Open,,,,,,,
01/15/2020,4,Open,,,,,,,
01/15/2020,5,Open,,,,,,,
01/15/2020,6,Open,,,,,,,
01/16/2020,1,Open,,,,,,,
01/16/2020,2,Open,,,,,,,
01/16/2020,3,Open,,,,,,,
01/16/2020,4,Open,,,,,,,
01/16/2020,5,Open,,,,,,,
01/16/2020,6,Open,,,,,,,
01/17/2020,1,Open,,,,,,,
01/17/2020,2,Open,,,,,,,
01/17/2020,3,Open,,,,,,,
01/17/2020,4,Open,,,,,,,
01/17/2020,5,Open,,,,,,,
01/17/2020,6,Open,,,,,,,
01/18/2020,1,Open,,,,,,,
01/18/2020,2,Open,,,,,,,
01/18/2020,3,Open,,,,,,,
01/18/2020,4,Open,,,,,,,
01/18/2020,5,Open,,,,,,,
01/18/2020,6,Open,,,,,,,
01/19/2020,1,Open,,,,,,,
01/19/2020,2,Open,,,,,,,
01/19/2020,3,Open,,,,,,,
01/19/2020,4,Open,,,,,,,
01/19/2020,5,Open,,,,,,,
01/19/2020,6,Open,,,,,,,
01/20/2020,1,Open,,,,,,,
01/20/2020,2,Open,,,,,,,
01/20/2020,3,Open,,,,,,,
01/20/2020,4,Open,,,,,,,
01/20/2020,5,Open,,,,,,,
01/20/2020,6,Open,,,,,,,
01/21/2020,1,Open,,,,,,,
01/21/2020,2,Open,,,,,,,
01/21/2020,3,Open,,,,,,,
01/21/2020,4,Open,,,,,,,
01/21/2020,5,Open,,,,,,,
01/21/2020,6,Open,,,,,,,
01/22/2020,1,Open,,,,,,,
01/22/2020,2,Open,,,,,,,
01/22/2020,3,Open,,,,,,,
01/22/2020,4,Open,,,,,,,
01/22/2020,5,Open,,,,,,,
01/22/2020,6,Open,,,,,,,
01/23/2020,1,Open,,,,,,,
01/23/2020,2,Open,,,,,,,
01/23/2020,3,Open,,,,,,,
01/23/2020,4,Open,,,,,,,
01/23/2020,5,Open,,,,,,,
01/23/2020,6,Open,,,,,,,
01/24/2020,1,Open,,,,,,,
01/24/2020,2,Open,,,,,,,
01/24/2020,3,Open,,,,,,,
01/24/2020,4,Open,,,,,,,
01/24/2020,5,Open,,,,,,,
01/24/2020,6,Open,,,,,,,
01/25/2020,1,Open,,,,,,,
01/25/2020,2,Open,,,,,,,
01/25/2020,3,Open,,,,,,,
01/25/2020,4,Open,,,,,,,
01/25/2020,5,Open,,,,,,,
01/25/2020,6,Open,,,,,,,
01/26/2020,1,Open,,,,,,,
01/26/2020,2,Open,,,,,,,
01/26/2020,3,Open,,,,,,,
01/26/2020,4,Open,,,,,,,
01/26/2020,5,Open,,,,,,,
01/26/2020,6,Open,,,,,,,
01/27/2020,1,Open,,,,,,,
01/27/2020,2,Open,,,,,,,
01/27/2020,3,Open,,,,,,,
01/27/2020,4,Open,,,,,,,
01/27/2020,5,Open,,,,,,,
01/27/2020,6,Open,,,,,,,
01/28/2020,1,Open,,,,,,,
01/28/2020,2,Open,,,,,,,
01/28/2020,3,Open,,,,,,,
01/28/2020,4,Open,,,,,,,
01/28/2020,5,Open,,,,,,,
01/28/2020,6,Open,,,,,,,
01/29/2020,1,Open,,,,,,,
01/29/2020,2,Open,,,,,,,
01/29/2020,3,Open,,,,,,,
01/29/2020,4,Open,,,,,,,
01/29/2020,5,Open,,,,,,,
01/29/2020,6,Open,,,,,,,
01/30/2020,1,Open,,,,,,,
01/30/2020,2,Open,,,,,,,
01/30/2020,3,Open,,,,,,,
01/30/2020,4,Open,,,,,,,
01/30/2020,5,Open,,,,,,,
01/30/2020,6,Open,,,,,,,
01/31/2020,1,Open,,,,,,,
01/31/2020,2,Open,,,,,,,
01/31/2020,3,Open,,,,,,,
01/31/2020,4,Open,,,,,,,
01/31/2020,5,Open,,,,,,,
01/31/2020,6,Open,,,,,,,
02/01/2020,1,Open,,,,,,,
02/01/2020,2,Open,,,,,,,
02/01/2020,3,Open,,,,,,,
02/01/2020,4,Open,,,,,,,
02/01/2020,5,Open,,,,,,,
02/01/2020,6,Open,,,,,,,
02/02/2020,1,Open,,,,,,,
02/02/2020,2,Open,,,,,,,
02/02/2020,3,Open,,,,,,,
02/02/2020,4,Open,,,,,,,
02/02/2020,5,Open,,,,,,,
02/02/2020,6,Open,,,,,,,
02/03/2020,1,Open,,,,,,,
02/03/2020,2,Open,,,,,,,
02/03/2020,3,Open,,,,,,,
02/03/2020,4,Open,,,,,,,
02/03/2020,5,Open,,,,,,,
02/03/2020,6,Open,,,,,,,
02/04/2020,1,Open,,,,,,,
02/04/2020,2,Open,,,,,,,
02/04/2020,3,Open,,,,,,,
02/04/2020,4,Open,,,,,,,
02/04/2020,5,Open,,,,,,,
02/04/2020,6,Open,,,,,,,
02/05/2020,1,Open,,,,,,,
02/05/2020,2,Open,,,,,,,
02/05/2020,3,Open,,,,,,,
02/05/2020,4,Open,,,,,,,
02/05/2020,5,Open,,,,,,,
02/05/2020,6,Open,,,,,,,
02/06/2020,1,Open,,,,,,,
02/06/2020,2,Open,,,,,,,
02/06/2020,3,Open,,,,,,,
02/06/2020,4,Open,,,,,,,
02/06/2020,5,Open,,,,,,,
02/06/2020,6,Open,,,,,,,
02/07/2020,1,Open,,,,,,,
02/07/2020,2,Open,,,,,,,
02/07/2020,3,Open,,,,,,,
02/07/2020,4,Open,,,,,,,
02/07/2020,5,Open,,,,,,,
02/07/2020,6,Open,,,,,,,
02/08/2020,1,Open,,,,,,,
02/08/2020,2,Open,,,,,,,
02/08/2020,3,Open,,,,,,,
02/08/2020,4,Open,,,,,,,
02/08/2020,5,Open,,,,,,,
02/08/2020,6,Open,,,,,,,
02/09/2020,1,Open,,,,,,,
02/09/2020,2,Open,,,,,,,
02/09/2020,3,Open,,,,,,,
02/09/2020,4,Open,,,,,,,
02/09/2020,5,Open,,,,,,,
02/09/2020,6,Open,,,,,,,
02/10/2020,1,Open,,,,,,,
02/10/2020,2,Open,,,,,,,
02/10/2020,3,Open,,,,,,,
02/10/2020,4,Open,,,,,,,
02/10/2020,5,Open,,,,,,,
02/10/2020,6,Open,,,,,,,
02/11/2020,1,Open,,,,,,,
02/11/2020,2,Open,,,,,,,
02/11/2020,3,Open,,,,,,,
02/11/2020,4,Open,,,,,,,
02/11/2020,5,Open,,,,,,,
02/11/2020,6,Open,,,,,,,
02/12/2020,1,Open,,,,,,,
02/12/2020,2,Open,,,,,,,
02/12/2020,3,Open,,,,,,,
02/12/2020,4,Open,,,,,,,
02/12/2020,5,Open,,,,,,,
02/12/2020,6,Open,,,,,,,
02/13/2020,1,Open,,,,,,,
02/13/2020,2,Open,,,,,,,
02/13/2020,3,Open,,,,,,,
02/13/2020,4,Open,,,,,,,
02/13/2020,5,Open,,,,,,,
02/13/2020,6,Open,,,,,,,
02/14/2020,1,Open,,,,,,,
02/14/2020,2,Open,,,,,,,
02/14/2020,3,Open,,,,,,,
02/14/2020,4,Open,,,,,,,
02/14/2020,5,Open,,,,,,,
02/14/2020,6,Open,,,,,,,
02/15/2020,1,Open,,,,,,,
02/15/2020,2,Open,,,,,,,
02/15/2020,3,Open,,,,,,,
02/15/2020,4,Open,,,,,,,
02/15/2020,5,Open,,,,,,,
02/15/2020,6,Open,,,,,,,
02/16/2020,1,Open,,,,,,,
02/16/2020,2,Open,,,,,,,
02/16/2020,3,Open,,,,,,,
02/16/2020,4,Open,,,,,,,
02/16/2020,5,Open,,,,,,,
02/16/2020,6,Open,,,,,,,
02/17/2020,1,Open,,,,,,,
02/17/2020,2,Open,,,,,,,
02/17/2020,3,Open,,,,,,,
02/17/2020,4,Open,,,,,,,
02/17/2020,5,Open,,,,,,,
02/17/2020,6,Open,,,,,,,
02/18/2020,1,Open,,,,,,,
02/18/2020,2,Open,,,,,,,
02/18/2020,3,Open,,,,,,,
02/18/2020,4,Open,,,,,,,
02/18/2020,5,Open,,,,,,,
02/18/2020,6,Open,,,,,,,
02/19/2020,1,Open,,,,,,,
02/19/2020,2,Open,,,,,,,
02/19/2020,3,Open,,,,,,,
02/19/2020,4,Open,,,,,,,
02/19/2020,5,Open,,,,,,,
02/19/2020,6,Open,,,,,,,
02/20/2020,1,Open,,,,,,,
02/20/2020,2,Open,,,,,,,
02/20/2020,3,Open,,,,,,,
02/20/2020,4,Open,,,,,,,
02/20/2020,5,Open,,,,,,,
02/20/2020,6,Open,,,,,,,
